,Tipo de fiscalizador,Ubicación,pos y,pos x,Conducta fiscalizada
0,Analítica de video,Av. Juan Bautista Alberdi 890,-34.6229296,-58.4405593,"semáforo rojo, senda peatonal"
1,Analítica de video,Av. Juan B. Justo 3969,-34.6041664,-58.458205,"semáforo rojo, senda peatonal, Giro indebido"
2,Analítica de video,AV. Rivadavia 4987,-34.6180948,-58.43609,"semáforo rojo, senda peatonal"
3,Analítica de video,Bernardo de Yrigoyen 1026,-34.620115,-58.3801422,semáforo rojo
4,Analítica de video,Av. Cordoba 6287,-34.582832,-58.4485977,semáforo rojo
5,Analítica de video,Av. Rivadavia 10524,-34.6393519,-58.511761,"semáforo rojo, senda peatonal, Giro indebido"
6,Analítica de video,Rosario 21,-34.6183695,-58.4290076,"semáforo rojo, senda peatonal"
7,Analítica de video,Av. Cordoba 4570,-34.5945194,-58.4297659,"semáforo rojo, senda peatonal"
8,Analítica de video,Av. Cordoba 4471,-34.5950856,-58.4288221,"semáforo rojo, senda peatonal"
9,Analítica de video,Av. Avellaneda 1825,-34.6212716,-58.4563876,"semáforo rojo, senda peatonal, Vía transversal"
10,Analítica de video,Av Mosconi 3000,-34.5870146,-58.50341,"semáforo rojo, senda peatonal, Vía transversal"
11,Analítica de video,AV.Paseo Colon 753,-34.6167193,-58.3694479,"semáforo rojo, senda peatonal"
12,Analítica de video,Av Caseros 3020 sobre la plaza.,-34.6372008,-58.405921,"semáforo rojo, senda peatonal"
13,Analítica de video,Av. Cabildo 1716,-34.5655339,-58.4538156,"semáforo rojo, senda peatonal"
14,Analítica de video,Av Gaona 2300,-34.6137044,-58.4594855,"semáforo rojo, senda peatonal"
15,Analítica de video,Av. Francisco Beiró 2875,-34.5947753,-58.4941256,"semáforo rojo, senda peatonal"
16,Analítica de video,Av. Corrientes 3022,-34.6043626,-58.4080931,"semáforo rojo, senda peatonal"
17,Analítica de video,Lima 281,-34.6116696,-58.3819691,"semáforo rojo, senda peatonal"
18,Analítica de video,Av. Coronel Roca 5870,-34.6896993,-58.4607644,"semáforo rojo, senda peatonal"
19,Analítica de video,Av. Avellaneda 2924,-34.626596,-58.47185,"semáforo rojo, senda peatonal"
20,Analítica de video,Av. Independencia 1784,-34.6183201,-58.3913006,"semáforo rojo, senda peatonal"
21,Analítica de video,Av. Corrientes 2813,-34.604368,-58.405723,"semáforo rojo, senda peatonal"
22,Analítica de video,Av. Álvarez Thomas 1294,-34.578286,-58.4598168,"semáforo rojo, senda peatonal, Vía transversal"
23,Analítica de video,Av. San Juan 1119,-34.6219603,-58.3818964,"semáforo rojo, senda peatonal"
24,Analítica de video,Av Santa Fe 4650,-34.578466,-58.426036,"semáforo rojo, senda peatonal, Giro indebido"
25,Analítica de video,Av. Leandro N. Alem 518,-34.6016026,-58.3706653,"semáforo rojo, senda peatonal"
26,Analítica de video,Lima Oeste 1524,-34.6261863,-58.3821062,semáforo rojo
27,Analítica de video,Av. Corriente 6210,-34.5915862,-58.447969,"semáforo rojo, senda peatonal"
28,Analítica de video,Dr. Jose Maria Ramos Mejia 1304,-34.5923398,-58.3751466,"semáforo rojo, senda peatonal"
29,Analítica de video,Av. Corrientes 5220,-34.59987,-58.4390869,"semáforo rojo, senda peatonal"
30,Analítica de video,Av. Cabildo 4718,-34.5413779,-58.4741464,"semáforo rojo, senda peatonal, Giro indebido"
31,Analítica de video,Av. Rivadavia 7420,-34.6309456,-58.4700198,"semáforo rojo, senda peatonal, Giro indebido"
32,Analítica de video,Av. Las Heras 2289,-34.587597,-58.3968022,"semáforo rojo, senda peatonal, Giro indebido"
33,Analítica de video,Av. Santa Fe 2622,-34.5941423,-58.4040057,"semáforo rojo, senda peatonal"
34,Analítica de video,Av. Belgrano 3218,-34.6154775,-58.411437,semáforo rojo
35,Analítica de video,Av. Independencia 2086,-34.618509,-58.3956791,"semáforo rojo, senda peatonal"
36,Analítica de video,Av. Rivadavia 2775,-34.6098817,-58.4055978,"semáforo rojo, senda peatonal"
37,Analítica de video,Av. Int. Francisco Rabanal 1323,-34.6547635,-58.4172216,"semáforo rojo, senda peatonal"
38,Analítica de video,Av. Belgrano 324,-34.6125804,-58.3708745,"semáforo rojo, senda peatonal"
39,Analítica de video,Av. Virrey Vértiz 2010,-34.5590823,-58.4497814,"semáforo rojo, senda peatonal"
40,Analítica de video,AV.Paseo Colón 400,-34.6128447,-58.3688407,"semáforo rojo, senda peatonal"
41,Analítica de video,AV. Saenz 1230,-34.6550245,-58.4161493,"semáforo rojo, senda peatonal"
