,ID_hecho,FECHA,AAAA,MM,DD,VICTIMA,SEXO,EDAD,GRAVEDAD,grupo_etario
0,2016-0001,2016-01-01,2016,1,1,MOTO,MASCULINO,19,Defuncion,18-30
1,2016-0002,2016-01-02,2016,1,2,AUTO,MASCULINO,70,Defuncion,+60
2,2016-0003,2016-01-03,2016,1,3,MOTO,MASCULINO,30,Defuncion,18-30
3,2016-0004,2016-01-10,2016,1,10,MOTO,MASCULINO,18,Defuncion,<18
4,2016-0005,2016-01-21,2016,1,21,MOTO,MASCULINO,29,Defuncion,18-30
5,2016-0008,2016-01-24,2016,1,24,MOTO,MASCULINO,30,Defuncion,18-30
6,2016-0009,2016-01-24,2016,1,24,MOTO,MASCULINO,29,Defuncion,18-30
7,2016-0010,2016-01-29,2016,1,29,MOTO,MASCULINO,18,Defuncion,<18
8,2016-0012,2016-02-08,2016,2,8,MOTO,MASCULINO,22,Defuncion,18-30
9,2016-0013,2016-02-10,2016,2,10,PEATON,MASCULINO,16,Defuncion,<18
10,2016-0015,2016-02-14,2016,2,14,PEATON,FEMENINO,16,Defuncion,<18
11,2016-0016,2016-02-14,2016,2,14,MOTO,FEMENINO,19,Defuncion,18-30
12,2016-0017,2016-02-15,2016,2,15,PEATON,MASCULINO,59,Defuncion,50-60
13,2016-0019,2016-02-17,2016,2,17,PEATON,FEMENINO,65,Defuncion,+60
14,2016-0020,2016-02-17,2016,2,17,PEATON,MASCULINO,59,Defuncion,50-60
15,2016-0021,2016-02-17,2016,2,17,AUTO,MASCULINO,34,Defuncion,30-50
16,2016-0022,2016-02-21,2016,2,21,MOTO,MASCULINO,41,Defuncion,30-50
17,2016-0025,2016-02-28,2016,2,28,AUTO,MASCULINO,34,Defuncion,30-50
18,2016-0026,2016-02-28,2016,2,28,AUTO,MASCULINO,30,Defuncion,18-30
19,2016-0027,2016-02-28,2016,2,28,AUTO,MASCULINO,34,Defuncion,30-50
20,2016-0028,2016-03-02,2016,3,2,PEATON,MASCULINO,50,Defuncion,30-50
21,2016-0029,2016-03-04,2016,3,4,PEATON,MASCULINO,38,Defuncion,30-50
22,2016-0031,2016-03-08,2016,3,8,MOTO,MASCULINO,21,Defuncion,18-30
23,2016-0034,2016-03-12,2016,3,12,PEATON,MASCULINO,52,Defuncion,50-60
24,2016-0035,2016-03-13,2016,3,13,MOTO,MASCULINO,34,Defuncion,30-50
25,2016-0036,2016-03-14,2016,3,14,MOTO,MASCULINO,36,Defuncion,30-50
26,2016-0037,2016-03-19,2016,3,19,MOTO,MASCULINO,20,Defuncion,18-30
27,2016-0038,2016-03-21,2016,3,21,PEATON,MASCULINO,29,Defuncion,18-30
28,2016-0039,2016-03-23,2016,3,23,MOTO,MASCULINO,20,Defuncion,18-30
29,2016-0041,2016-03-29,2016,3,29,MOTO,MASCULINO,54,Defuncion,50-60
30,2016-0041,2016-03-29,2016,3,29,MOTO,MASCULINO,,Defuncion,
31,2016-0043,2016-03-30,2016,3,30,PEATON,FEMENINO,56,Defuncion,50-60
